customer_id,age,gender,annual_income,spending_score,profession,work_experience,family_size,purchases_last_month,feedback
1,19,Male,15000,39,Student,1,4,2,"The product was okay but delivery took too long"
2,21,Female,16000,81,Student,1,3,5,"Absolutely love this store! Great quality products"
3,20,Female,16000,6,Student,2,3,1,"Not satisfied with my purchase"
4,23,Female,17000,77,Student,2,2,4,"Good value for money"
5,31,Male,16000,40,Engineer,5,1,3,"Average experience, nothing special"
6,22,Female,17000,76,Student,3,4,5,"Will definitely buy again!"
7,35,Female,18000,6,Doctor,7,2,1,"Poor customer service"
8,23,Male,18000,94,Student,3,3,6,"Best shopping experience ever!"
9,64,Female,18000,3,Retired,40,1,1,"Won't recommend to others"
10,30,Female,17000,72,Teacher,8,2,4,"Very happy with my purchases"
11,45,Male,75000,55,Manager,15,3,8,"Products are good but website needs improvement"
12,28,Female,45000,88,Designer,6,2,7,"My go-to store for all my needs!"
13,33,Male,62000,33,Developer,10,4,4,"Decent prices but limited selection"
14,52,Female,58000,12,Accountant,25,1,2,"Too expensive for what you get"
15,26,Male,38000,95,Artist,4,2,9,"Creative products I can't find elsewhere"
16,41,Female,82000,47,Lawyer,16,3,5,"Reliable but not exceptional"
17,29,Male,49000,78,Marketing,7,1,6,"Great promotional offers"
18,37,Female,67000,61,Nurse,12,4,5,"Good customer support"
19,48,Male,91000,29,Executive,20,2,3,"Premium products but premium prices"
20,25,Female,36000,84,Writer,3,1,8,"Inspiring collection for creatives"
21,56,Male,88000,17,Consultant,30,2,1,"Not worth the money"
22,32,Female,53000,73,Architect,9,3,7,"Excellent quality materials"
23,39,Male,71000,52,Engineer,14,4,6,"Technical products meet expectations"
24,27,Female,42000,89,Teacher,5,2,9,"Educational resources are top-notch"
25,44,Male,79000,44,Manager,18,3,5,"Standard corporate options"
26,31,Female,48000,82,Entrepreneur,8,1,8,"Perfect for small business needs"
27,50,Male,95000,23,Director,25,2,2,"Overpriced for executives"
28,24,Female,34000,91,Student,2,4,10,"Student discounts are amazing!"
29,36,Male,65000,67,Developer,11,3,6,"Good tech products selection"
30,42,Female,77000,58,Doctor,17,2,5,"Medical professionals approve"
31,23,Male,29000,96,Musician,3,1,10,"Best instruments and gear!"
32,47,Female,85000,37,VP,20,3,4,"Luxury items but inconsistent quality"
33,29,Male,51000,79,Photographer,6,2,7,"Great equipment for professionals"
34,38,Female,69000,63,Professor,13,1,6,"Academic resources very useful"
35,53,Male,92000,21,CEO,28,2,1,"Not suitable for business needs"
36,26,Female,37000,86,Graphic Designer,4,3,8,"Creative tools exceed expectations"
37,34,Male,60000,71,Data Scientist,10,2,7,"Analytics products very powerful"
38,40,Female,73000,54,Pharmacist,15,4,5,"Healthcare selection is adequate"
39,22,Male,31000,93,Gamer,2,1,9,"Best gaming gear anywhere!"
40,49,Female,89000,32,Investor,22,2,3,"Not good return on investment"
41,30,Male,55000,75,Chef,8,3,7,"Kitchen equipment is professional grade"
42,35,Female,63000,69,Journalist,12,1,6,"Research materials very helpful"
43,43,Male,80000,49,Manager,18,4,5,"Corporate account features lacking"
44,28,Female,44000,87,Social Media,6,2,8,"Perfect for influencers"
45,51,Male,90000,26,Executive,25,3,2,"Disappointing executive products"
46,25,Female,35000,90,Student,3,4,9,"Campus delivery is super fast!"
47,33,Male,59000,70,UX Designer,9,2,7,"Design tools very intuitive"
48,46,Female,83000,42,Director,19,1,4,"Management tools need updating"
49,27,Male,41000,83,Fitness Trainer,5,3,8,"Best athletic gear in town!"
50,39,Female,68000,60,HR Manager,14,2,6,"Good for corporate gifting"
